base_name,scenario,impl,mean_ns,median_ns,stddev_ns,cv_pct,is_patternia,fastest_impl,fastest_mean_ns,impl_vs_fastest_pct,impl_vs_patternia_pct,patternia_impl,patternia_mean_ns,patternia_rank,patternia_vs_fastest_pct,patternia_status
BM_IfElse_CommandParser/min_time:0.500/repeats:20,CommandParser,IfElse,2.129983,2.128445,0.013635,0.6401,no,StdVisit,1.398994,52.2510,18.6649,PatterniaPipe,1.794957,2,28.3034,slow
BM_IfElse_ProtocolRouter/min_time:0.500/repeats:20,ProtocolRouter,IfElse,2.039964,2.076171,0.078109,3.8289,no,StdVisit,1.516465,34.5210,26.3763,PatterniaPipe,1.614198,3,6.4448,watch
BM_PatterniaPipe_CommandParser/min_time:0.500/repeats:20,CommandParser,PatterniaPipe,1.794957,1.773792,0.039088,2.1777,yes,StdVisit,1.398994,28.3034,0.0000,PatterniaPipe,1.794957,2,28.3034,slow
BM_PatterniaPipe_PacketMixed/min_time:0.500/repeats:20,PacketMixed,PatterniaPipe,1.622367,1.620940,0.005157,0.3179,yes,Switch,1.407274,15.2844,0.0000,PatterniaPipe,1.622367,2,15.2844,watch
BM_PatterniaPipe_PacketMixedHeavyBind/min_time:0.500/repeats:20,PacketMixedHeavyBind,PatterniaPipe,1.681976,1.682244,0.003683,0.2190,yes,Switch,1.476158,13.9428,0.0000,PatterniaPipe,1.681976,2,13.9428,watch
BM_PatterniaPipe_ProtocolRouter/min_time:0.500/repeats:20,ProtocolRouter,PatterniaPipe,1.614198,1.613750,0.002912,0.1804,yes,StdVisit,1.516465,6.4448,0.0000,PatterniaPipe,1.614198,3,6.4448,watch
BM_PatterniaPipe_VariantAltHot/min_time:0.500/repeats:20,VariantAltHot,PatterniaPipe,1.557361,1.556614,0.002192,0.1407,yes,StdVisit,1.557006,0.0228,0.0000,PatterniaPipe,1.557361,2,0.0228,close
BM_PatterniaPipe_VariantAltHotGuarded/min_time:0.500/repeats:20,VariantAltHotGuarded,PatterniaPipe,1.713113,1.712833,0.001371,0.0800,yes,StdVisit,1.712916,0.0115,0.0000,PatterniaPipe,1.713113,2,0.0115,close
BM_PatterniaPipe_VariantMixed/min_time:0.500/repeats:20,VariantMixed,PatterniaPipe,1.999935,1.996289,0.007648,0.3824,yes,SwitchIndex,0.997381,100.5187,0.0000,PatterniaPipe,1.999935,4,100.5187,slow
BM_PatterniaPipe_VariantMixedGuarded/min_time:0.500/repeats:20,VariantMixedGuarded,PatterniaPipe,1.846855,1.843981,0.006685,0.3620,yes,Sequential,1.423291,29.7595,0.0000,PatterniaPipe,1.846855,3,29.7595,slow
BM_Sequential_VariantAltHot/min_time:0.500/repeats:20,VariantAltHot,Sequential,1.714648,1.712844,0.007932,0.4626,no,StdVisit,1.557006,10.1247,10.0996,PatterniaPipe,1.557361,2,0.0228,close
BM_Sequential_VariantAltHotGuarded/min_time:0.500/repeats:20,VariantAltHotGuarded,Sequential,1.867909,1.867405,0.001089,0.0583,no,StdVisit,1.712916,9.0485,9.0360,PatterniaPipe,1.713113,2,0.0115,close
BM_Sequential_VariantMixed/min_time:0.500/repeats:20,VariantMixed,Sequential,1.167863,1.167294,0.002353,0.2015,no,SwitchIndex,0.997381,17.0930,-41.6050,PatterniaPipe,1.999935,4,100.5187,slow
BM_Sequential_VariantMixedGuarded/min_time:0.500/repeats:20,VariantMixedGuarded,Sequential,1.423291,1.427150,0.009708,0.6821,no,Sequential,1.423291,0.0000,-22.9344,PatterniaPipe,1.846855,3,29.7595,slow
BM_StdVisit_CommandParser/min_time:0.500/repeats:20,CommandParser,StdVisit,1.398994,1.399059,0.007338,0.5245,no,StdVisit,1.398994,0.0000,-22.0597,PatterniaPipe,1.794957,2,28.3034,slow
BM_StdVisit_ProtocolRouter/min_time:0.500/repeats:20,ProtocolRouter,StdVisit,1.516465,1.515505,0.003939,0.2597,no,StdVisit,1.516465,0.0000,-6.0546,PatterniaPipe,1.614198,3,6.4448,watch
BM_StdVisit_VariantAltHot/min_time:0.500/repeats:20,VariantAltHot,StdVisit,1.557006,1.556707,0.001219,0.0783,no,StdVisit,1.557006,0.0000,-0.0228,PatterniaPipe,1.557361,2,0.0228,close
BM_StdVisit_VariantAltHotGuarded/min_time:0.500/repeats:20,VariantAltHotGuarded,StdVisit,1.712916,1.712506,0.001368,0.0799,no,StdVisit,1.712916,0.0000,-0.0115,PatterniaPipe,1.713113,2,0.0115,close
BM_StdVisit_VariantMixed/min_time:0.500/repeats:20,VariantMixed,StdVisit,1.994318,1.991153,0.009264,0.4645,no,SwitchIndex,0.997381,99.9556,-0.2809,PatterniaPipe,1.999935,4,100.5187,slow
BM_StdVisit_VariantMixedGuarded/min_time:0.500/repeats:20,VariantMixedGuarded,StdVisit,2.151801,2.151533,0.001741,0.0809,no,Sequential,1.423291,51.1849,16.5116,PatterniaPipe,1.846855,3,29.7595,slow
BM_SwitchIndex_VariantAltHot/min_time:0.500/repeats:20,VariantAltHot,SwitchIndex,1.713258,1.713195,0.001717,0.1002,no,StdVisit,1.557006,10.0354,10.0103,PatterniaPipe,1.557361,2,0.0228,close
BM_SwitchIndex_VariantAltHotGuarded/min_time:0.500/repeats:20,VariantAltHotGuarded,SwitchIndex,1.868532,1.867743,0.002090,0.1119,no,StdVisit,1.712916,9.0849,9.0724,PatterniaPipe,1.713113,2,0.0115,close
BM_SwitchIndex_VariantMixed/min_time:0.500/repeats:20,VariantMixed,SwitchIndex,0.997381,0.995898,0.003663,0.3672,no,SwitchIndex,0.997381,0.0000,-50.1294,PatterniaPipe,1.999935,4,100.5187,slow
BM_SwitchIndex_VariantMixedGuarded/min_time:0.500/repeats:20,VariantMixedGuarded,SwitchIndex,1.466243,1.470281,0.013745,0.9374,no,Sequential,1.423291,3.0178,-20.6087,PatterniaPipe,1.846855,3,29.7595,slow
BM_Switch_CommandParser/min_time:0.500/repeats:20,CommandParser,Switch,2.248341,2.247998,0.003906,0.1737,no,StdVisit,1.398994,60.7112,25.2588,PatterniaPipe,1.794957,2,28.3034,slow
