base_name,scenario,impl,mean_ns,median_ns,stddev_ns,cv_pct,is_patternia,fastest_impl,fastest_mean_ns,impl_vs_fastest_pct,impl_vs_patternia_pct,patternia_impl,patternia_mean_ns,patternia_rank,patternia_vs_fastest_pct,patternia_status
BM_PatterniaPipe_ScaleN16/min_time:0.500/repeats:20,ScaleN16,PatterniaPipe,1.660453,1.661613,0.003719,0.2240,yes,SwitchIndex,0.921387,80.2124,0.0000,PatterniaPipe,1.660453,2,80.2124,slow
BM_PatterniaPipe_ScaleN32/min_time:0.500/repeats:20,ScaleN32,PatterniaPipe,2.139937,2.132471,0.027822,1.3001,yes,SwitchIndex,0.902437,137.1287,0.0000,PatterniaPipe,2.139937,2,137.1287,slow
BM_PatterniaPipe_ScaleN4/min_time:0.500/repeats:20,ScaleN4,PatterniaPipe,1.346979,1.349822,0.013841,1.0276,yes,SwitchIndex,0.894502,50.5842,0.0000,PatterniaPipe,1.346979,3,50.5842,slow
BM_PatterniaPipe_ScaleN8/min_time:0.500/repeats:20,ScaleN8,PatterniaPipe,1.538992,1.538610,0.002595,0.1686,yes,SwitchIndex,0.807671,90.5470,0.0000,PatterniaPipe,1.538992,3,90.5470,slow
BM_StdVisit_ScaleN16/min_time:0.500/repeats:20,ScaleN16,StdVisit,6.243750,6.249154,0.060658,0.9715,no,SwitchIndex,0.921387,577.6468,276.0268,PatterniaPipe,1.660453,2,80.2124,slow
BM_StdVisit_ScaleN32/min_time:0.500/repeats:20,ScaleN32,StdVisit,7.516439,8.276942,0.871542,11.5951,no,SwitchIndex,0.902437,732.9043,251.2457,PatterniaPipe,2.139937,2,137.1287,slow
BM_StdVisit_ScaleN4/min_time:0.500/repeats:20,ScaleN4,StdVisit,0.933335,0.933028,0.001312,0.1406,no,SwitchIndex,0.894502,4.3413,-30.7090,PatterniaPipe,1.346979,3,50.5842,slow
BM_StdVisit_ScaleN8/min_time:0.500/repeats:20,ScaleN8,StdVisit,0.827386,0.827260,0.001954,0.2362,no,SwitchIndex,0.807671,2.4410,-46.2385,PatterniaPipe,1.538992,3,90.5470,slow
BM_SwitchIndex_ScaleN16/min_time:0.500/repeats:20,ScaleN16,SwitchIndex,0.921387,0.917783,0.017084,1.8542,no,SwitchIndex,0.921387,0.0000,-44.5099,PatterniaPipe,1.660453,2,80.2124,slow
BM_SwitchIndex_ScaleN32/min_time:0.500/repeats:20,ScaleN32,SwitchIndex,0.902437,0.902021,0.001722,0.1908,no,SwitchIndex,0.902437,0.0000,-57.8288,PatterniaPipe,2.139937,2,137.1287,slow
BM_SwitchIndex_ScaleN4/min_time:0.500/repeats:20,ScaleN4,SwitchIndex,0.894502,0.894322,0.002052,0.2294,no,SwitchIndex,0.894502,0.0000,-33.5920,PatterniaPipe,1.346979,3,50.5842,slow
BM_SwitchIndex_ScaleN8/min_time:0.500/repeats:20,ScaleN8,SwitchIndex,0.807671,0.803098,0.017019,2.1071,no,SwitchIndex,0.807671,0.0000,-47.5195,PatterniaPipe,1.538992,3,90.5470,slow
