base_name,scenario,impl,mean_ns,median_ns,stddev_ns,cv_pct,is_patternia,fastest_impl,fastest_mean_ns,impl_vs_fastest_pct,impl_vs_patternia_pct,patternia_impl,patternia_mean_ns,patternia_rank,patternia_vs_fastest_pct,patternia_status
BM_IfElse_CommandParser/min_time:0.500/repeats:20,CommandParser,IfElse,2.128434,2.127125,0.009382,0.4408,no,StdVisit,1.397000,52.3574,19.9970,PatterniaPipe,1.773739,2,26.9677,slow
BM_IfElse_ProtocolRouter/min_time:0.500/repeats:20,ProtocolRouter,IfElse,1.935960,1.865225,0.114079,5.8926,no,StdVisit,1.522923,27.1213,18.9951,PatterniaPipe,1.626924,3,6.8290,watch
BM_PatterniaPipe_CommandParser/min_time:0.500/repeats:20,CommandParser,PatterniaPipe,1.773739,1.771950,0.003794,0.2139,yes,StdVisit,1.397000,26.9677,0.0000,PatterniaPipe,1.773739,2,26.9677,slow
BM_PatterniaPipe_PacketMixed/min_time:0.500/repeats:20,PacketMixed,PatterniaPipe,1.620545,1.619372,0.004016,0.2478,yes,Switch,1.440554,12.4945,0.0000,PatterniaPipe,1.620545,2,12.4945,watch
BM_PatterniaPipe_PacketMixedHeavyBind/min_time:0.500/repeats:20,PacketMixedHeavyBind,PatterniaPipe,1.681627,1.681878,0.003399,0.2021,yes,Switch,1.494890,12.4917,0.0000,PatterniaPipe,1.681627,2,12.4917,watch
BM_PatterniaPipe_ProtocolRouter/min_time:0.500/repeats:20,ProtocolRouter,PatterniaPipe,1.626924,1.625376,0.004735,0.2910,yes,StdVisit,1.522923,6.8290,0.0000,PatterniaPipe,1.626924,3,6.8290,watch
BM_PatterniaPipe_VariantAltHot/min_time:0.500/repeats:20,VariantAltHot,PatterniaPipe,1.558862,1.556556,0.007266,0.4661,yes,PatterniaPipe,1.558862,0.0000,0.0000,PatterniaPipe,1.558862,1,0.0000,fastest
BM_PatterniaPipe_VariantAltHotGuarded/min_time:0.500/repeats:20,VariantAltHotGuarded,PatterniaPipe,1.715721,1.712266,0.009833,0.5731,yes,StdVisit,1.714330,0.0811,0.0000,PatterniaPipe,1.715721,2,0.0811,close
BM_PatterniaPipe_VariantMixed/min_time:0.500/repeats:20,VariantMixed,PatterniaPipe,1.997664,1.994446,0.008043,0.4026,yes,SwitchIndex,1.009046,97.9754,0.0000,PatterniaPipe,1.997664,4,97.9754,slow
BM_PatterniaPipe_VariantMixedGuarded/min_time:0.500/repeats:20,VariantMixedGuarded,PatterniaPipe,1.915278,1.907934,0.040828,2.1317,yes,SwitchIndex,1.413463,35.5025,0.0000,PatterniaPipe,1.915278,3,35.5025,slow
