base_name,scenario,impl,mean_ns,median_ns,stddev_ns,cv_pct,is_patternia,fastest_impl,fastest_mean_ns,impl_vs_fastest_pct,impl_vs_patternia_pct,patternia_impl,patternia_mean_ns,patternia_rank,patternia_vs_fastest_pct,patternia_status
BM_PatterniaPipe_ScaleN16/min_time:0.500/repeats:20,ScaleN16,PatterniaPipe,1.704839,1.695949,0.021355,1.2526,yes,SwitchIndex,1.015413,67.8960,0.0000,PatterniaPipe,1.704839,2,67.8960,slow
BM_PatterniaPipe_ScaleN32/min_time:0.500/repeats:20,ScaleN32,PatterniaPipe,2.259964,2.258709,0.014383,0.6364,yes,SwitchIndex,1.009529,123.8632,0.0000,PatterniaPipe,2.259964,2,123.8632,slow
BM_PatterniaPipe_ScaleN4/min_time:0.500/repeats:20,ScaleN4,PatterniaPipe,1.397507,1.395705,0.007548,0.5401,yes,SwitchIndex,1.012125,38.0765,0.0000,PatterniaPipe,1.397507,3,38.0765,slow
BM_PatterniaPipe_ScaleN8/min_time:0.500/repeats:20,ScaleN8,PatterniaPipe,1.742326,1.758652,0.029508,1.6936,yes,SwitchIndex,0.919181,89.5521,0.0000,PatterniaPipe,1.742326,3,89.5521,slow
BM_StdVisit_ScaleN16/min_time:0.500/repeats:20,ScaleN16,StdVisit,3.121045,3.130302,0.025566,0.8191,no,SwitchIndex,1.015413,207.3670,83.0698,PatterniaPipe,1.704839,2,67.8960,slow
BM_StdVisit_ScaleN32/min_time:0.500/repeats:20,ScaleN32,StdVisit,6.582443,6.582020,0.008716,0.1324,no,SwitchIndex,1.009529,552.0310,191.2632,PatterniaPipe,2.259964,2,123.8632,slow
BM_StdVisit_ScaleN4/min_time:0.500/repeats:20,ScaleN4,StdVisit,1.052758,1.052069,0.002264,0.2151,no,SwitchIndex,1.012125,4.0146,-24.6688,PatterniaPipe,1.397507,3,38.0765,slow
BM_StdVisit_ScaleN8/min_time:0.500/repeats:20,ScaleN8,StdVisit,0.953578,0.952150,0.005366,0.5627,no,SwitchIndex,0.919181,3.7422,-45.2698,PatterniaPipe,1.742326,3,89.5521,slow
BM_SwitchIndex_ScaleN16/min_time:0.500/repeats:20,ScaleN16,SwitchIndex,1.015413,1.012804,0.008245,0.8120,no,SwitchIndex,1.015413,0.0000,-40.4393,PatterniaPipe,1.704839,2,67.8960,slow
BM_SwitchIndex_ScaleN32/min_time:0.500/repeats:20,ScaleN32,SwitchIndex,1.009529,1.008075,0.006135,0.6077,no,SwitchIndex,1.009529,0.0000,-55.3299,PatterniaPipe,2.259964,2,123.8632,slow
BM_SwitchIndex_ScaleN4/min_time:0.500/repeats:20,ScaleN4,SwitchIndex,1.012125,1.012078,0.001814,0.1792,no,SwitchIndex,1.012125,0.0000,-27.5764,PatterniaPipe,1.397507,3,38.0765,slow
BM_SwitchIndex_ScaleN8/min_time:0.500/repeats:20,ScaleN8,SwitchIndex,0.919181,0.919055,0.001843,0.2005,no,SwitchIndex,0.919181,0.0000,-47.2441,PatterniaPipe,1.742326,3,89.5521,slow
